단말기명,모델명,출고가,출시일자,통신사
q6,"lgm-x600s, lgm-x600k, lgm-x600l,lgm-x600s_32gs,lgm-x600s_32gw",419100,2017-08-02,"KT,LG,SKT"
joon ,sd-w530s,283800,2017-05-02,SKT
galaxy s8,"sm-g950n_64g,sm-g950nbk, sm-g950ngr, sm-g950nbe, sm-g950nsr",935000,2017-04-21,"KT,LG,SKT"
galaxy wide2,sm-j727s,297000,2017-05-19,SKT
sol prime,t-1000,330000,2017-01-19,SKT
sol prime,t-1000,433400,2017-01-06,SKT
vu3,lg-f300s/lg-f300k/lg-f300l,643500,2013-09-27,"KT,LG,SKT"
x power,lg-f750k,253000,2017-07-27,KT
xperia x performance,"xpr-xp_omd,omd sony xp",499400,2017-06-23,"KT,SKT"
xperia x performance,"xpr-xp_omd,omd sony xp",659000,2016-12-12,"KT,SKT"
xperia x performance,"xpr-xp_omd,omd sony xp",759000,2016-06-27,"KT,SKT"
xperia z2,omd sony z2,399000,2015-09-15,"KT,SKT"
xperia z2,omd sony z2,499000,2014-12-10,"KT,SKT"
xperia z2,omd sony z2,799000,2014-05-08,"KT,SKT"
xperia z2,omd sony z2,399000,2015-12-30,SKT
xperia z3,omd sony z3,799000,2014-09-21,SKT
xpr-c3,xpr-c3,297000,2014-11-03,KT
y6,hw-scl-l32,154000,2015-12-15,LG
galaxy a5 2015,"sm-a500k,sm-a500s",484000,2015-01-22,"KT,SKT"
galaxy a5 2015,"sm-a500k,sm-a500s",399300,2016-01-13,"KT,SKT"
galaxy a5 2017,"sm-a520k,sm-a520s,sm-a520l",588500,2017-07-14,"KT,LG,SKT"
galaxy a7 2015,"sm-a700k,sm-a700s",583000,2015-01-29,"KT,SKT"
galaxy a7 2015,"sm-a700k,sm-a700s",499400,2016-03-03,"KT,SKT"
galaxy alpha,"sm-g850k,sm-g850s",495000,2014-12-10,"KT,SKT"
galaxy alpha,"sm-g850k,sm-g850s",748000,2014-09-03,"KT,SKT"
galaxy j5 sence,"sm-j500n0,sm-j500n00",297000,2015-07-22,"LG,KT"
galaxy j5 2016,"sm-j510k,sm-j510s",297000,2016-04-29,"KT,SKT"
galaxy j7 2016,sm-j710k,363000,2016-04-29,KT
galaxy grand max,sm-g720n0,310000,2015-01-01,"KT,SKT"
galaxy round,sm-g910s,1089000,2013-10-10,SKT
galaxy s4,shv-e300l,954800,2013-06-26,LG
galaxy s4 lte-a,"shv-e330l,shv-e330s_16g",605000,2016-08-09,"LG,SKT"
galaxy s5 광대역 lte-a,"sm-g906k,sm-g906kw,sm-g906l,sm-g906s",940500,2014-06-30,"KT,LG,SKT"
galaxy s6 32gb,"sm-g920k,sm-g920kw,sm-g920l,sm-g920l64,sm-g920s_32g",779900,2015-10-07,
galaxy s6 32gb,"sm-g920k,sm-g920kw,sm-g920l,sm-g920l64,sm-g920s_32g",679800,2016-04-06,
galaxy s6 32gb,"sm-g920k,sm-g920kw,sm-g920l,sm-g920l64,sm-g920s_32g",854000,2015-03-22,"KT,LG,SKT"
galaxy s6 64gb,"sm-g920s_64gg,g920kw_64g,g920k_64g",799700,2015-10-07,
galaxy s6 64gb,"sm-g920s_64gg,g920kw_64g,g920k_64g",699600,2016-04-06,
galaxy s6 64gb,"sm-g920s_64gg,g920kw_64g,g920k_64g",924000,2015-03-22,
galaxy s6 edge 32gb,"g925k_128g,g925k_64g,g925kw_64g,sm-g925k,sm-g925kw,sm-g925l,sm-g925l128,sm-g925l64,sm-g925s_128g,sm-g925s_32g,sm-g925s_64g",979000,2015-03-22,KT
galaxy s6 edge 64gb,"g925k_128g,g925k_64g,g925kw_64g,sm-g925k,sm-g925kw,sm-g925l,sm-g925l128,sm-g925l64,sm-g925s_128g,sm-g925s_32g,sm-g925s_64g",1056000,2015-03-22,
galaxy s6 edge 128gb,"g925k_128g,g925k_64g,g925kw_64g,sm-g925k,sm-g925kw,sm-g925l,sm-g925l128,sm-g925l64,sm-g925s_128g,sm-g925s_32g,sm-g925s_64g",1188000,2015-05-12,
galaxy s6 edge 64gb,"g925k_128g,g925k_64g,g925kw_64g,sm-g925k,sm-g925kw,sm-g925l,sm-g925l128,sm-g925l64,sm-g925s_128g,sm-g925s_32g,sm-g925s_64g",898700,2015-10-07,
galaxy s6 edge 32gb,"g925k_128g,g925k_64g,g925kw_64g,sm-g925k,sm-g925kw,sm-g925l,sm-g925l128,sm-g925l64,sm-g925s_128g,sm-g925s_32g,sm-g925s_64g",735900,2016-06-04,
galaxy s6 edge 64gb,"g925k_128g,g925k_64g,g925kw_64g,sm-g925k,sm-g925kw,sm-g925l,sm-g925l128,sm-g925l64,sm-g925s_128g,sm-g925s_32g,sm-g925s_64g",755700,2016-06-04,
galaxy s6 edge 128gb,"g925k_128g,g925k_64g,g925kw_64g,sm-g925k,sm-g925kw,sm-g925l,sm-g925l128,sm-g925l64,sm-g925s_128g,sm-g925s_32g,sm-g925s_64g",799700,2016-06-04,
galaxy s7 32gb,"sm-g930kpk,sm-g930ksr,sm-g930kbpk,sm-g930k,sm-g930kw,sm-g930l,sm-g930s_32g,g930kgd_64g,sm-g930ssoy,rf-sm-g930l",836000,2016-03-10,"KT,LG,SKT"
galaxy s7 64gb,"sm-g930kpk,sm-g930ksr,sm-g930kbpk,sm-g930k,sm-g930kw,sm-g930l,sm-g930s_32g,g930kgd_64g,sm-g930ssoy,rf-sm-g930l",880000,2016-03-10,
galaxy s7 edge 32gb,"sm-g935kpb_128g,sm-g935kpk,sm-g935ksr,sm-g935kw,sm-g935kgd,sm-g935k,sm-g935kbe,sm-g935s_128g,sm-g935s_32g,g935kbe_64g,g935kgd_64g,rf-sm-g935l",924000,2016-03-11,KT
galaxy s7 edge 64gb,"sm-g935kpb_128g,sm-g935kpk,sm-g935ksr,sm-g935kw,sm-g935kgd,sm-g935k,sm-g935kbe,sm-g935s_128g,sm-g935s_32g,g935kbe_64g,g935kgd_64g,rf-sm-g935l",968000,2016-03-11,
galaxy s7 edge 128gb,"sm-g935kpb_128g,sm-g935kpk,sm-g935ksr,sm-g935kw,sm-g935kgd,sm-g935k,sm-g935kbe,sm-g935s_128g,sm-g935s_32g,g935kbe_64g,g935kgd_64g,rf-sm-g935l",1012000,2016-12-08,
galaxy win,"shv-e500s,shv-e500l",550000,2013-11-01,"SKT,LG"
galaxy grand2,"sm-g710l,sm-g710s",517000,2014-03-13,"LG,SKT"
galaxy note3,"sm-n900l,sm-n900sw",1067000,2013-09-10,"LG,SKT"
galaxy note3 neo,"sm-n750l,sm-n750s",790000,2014-03-03,"LG,SKT"
galaxy note4 s-lte,"sm-n916k,sm-n916kw,sm-n916s",957000,2015-01-23,"KT,SKT"
galaxy note5 32gb,"n920k_128g,n920kgd_64g,n920kpk_64g,n920ksr_64g,sm-n920ksr,sm-n920k,sm-n920kw,sm-n920kgd,sm-n920l,sm-n920l64,sm-n920s_128gg,sm-n920s_32gs,sm-n920s_64gg",899800,2015-08-21,KT
galaxy note5 64gb,"n920k_128g,n920kgd_64g,n920kpk_64g,n920ksr_64g,sm-n920ksr,sm-n920k,sm-n920kw,sm-n920kgd,sm-n920l,sm-n920l64,sm-n920s_128gg,sm-n920s_32gs,sm-n920s_64gg",965800,2015-08-21,
galaxy note5 128gb,"n920k_128g,n920kgd_64g,n920kpk_64g,n920ksr_64g,sm-n920ksr,sm-n920k,sm-n920kw,sm-n920kgd,sm-n920l,sm-n920l64,sm-n920s_128gg,sm-n920s_32gs,sm-n920s_64gg",999000,2015-12-18,
galaxy note5 32gb,"n920k_128g,n920kgd_64g,n920kpk_64g,n920ksr_64g,sm-n920ksr,sm-n920k,sm-n920kw,sm-n920kgd,sm-n920l,sm-n920l64,sm-n920s_128gg,sm-n920s_32gs,sm-n920s_64gg",799700,2016-12-27,
galaxy note5 64gb,"n920k_128g,n920kgd_64g,n920kpk_64g,n920ksr_64g,sm-n920ksr,sm-n920k,sm-n920kw,sm-n920kgd,sm-n920l,sm-n920l64,sm-n920s_128gg,sm-n920s_32gs,sm-n920s_64gg",821700,2016-12-27,
galaxy note5 128gb,"n920k_128g,n920kgd_64g,n920kpk_64g,n920ksr_64g,sm-n920ksr,sm-n920k,sm-n920kw,sm-n920kgd,sm-n920l,sm-n920l64,sm-n920s_128gg,sm-n920s_32gs,sm-n920s_64gg",865700,2016-12-27,
